true_label,pred_cluster,embedding_dim0,embedding_dim1
17,0,-0.20235261,0.13533905
17,0,-0.20235261,0.13533905
17,0,-0.20235261,0.13533905
17,0,-0.20235261,0.13533905
17,0,-0.20235261,0.13533905
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
35,1,-0.13550821,0.13942023
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
28,2,-0.06899214,0.1397194
22,3,0.13118616,-0.07979531
22,3,0.17340095,-0.08923703
22,3,0.12720743,-0.07715104
22,3,0.13118616,-0.07979531
22,3,0.17340095,-0.08923703
22,3,0.13118616,-0.07979531
22,3,0.12720743,-0.07715104
22,3,0.13118616,-0.07979531
